month,hour,T2M_mean,T2M_std,PS_mean,PS_std,RH2M_mean,RH2M_std
1,0,17.057419354838707,1.7050731910799062,958.2330645161289,1.6663929095916261,77.295,13.288574192329314
1,1,16.468145161290323,1.7769698182170826,957.741935483871,1.6862474224702775,81.48056451612904,14.600174868226599
1,2,15.996370967741935,1.8726870111558684,957.4435483870968,1.6963970397105719,84.81322580645161,15.32811161786523
1,3,15.647419354838709,1.9559855482564774,957.441129032258,1.7019363480485272,86.8733064516129,15.360176030165848
1,4,15.40508064516129,2.0110283321706524,957.8040322580645,1.6932865620044693,88.14701612903225,15.131346131113881
1,5,15.202499999999999,2.0487773966778837,958.5120967741935,1.6792174300996485,89.02008064516129,14.844518273008092
1,6,15.646209677419355,2.0035199077420214,959.3838709677419,1.6659862235433953,88.50467741935483,14.255310488757093
1,7,18.329919354838708,1.5847394676839948,960.266129032258,1.6616617745900983,76.11016129032258,13.42855070204949
1,8,21.376774193548385,1.7128564780653872,960.9362903225807,1.6547214870123486,61.77032258064516,12.044203945283533
1,9,24.5258064516129,1.7951497873387712,961.0096774193548,1.6294754183473072,48.70822580645161,11.889345715475379
1,10,26.551290322580645,1.8784455464891947,960.3846774193548,1.62541023488876,41.5233064516129,10.744064704611036
1,11,27.903225806451612,1.9591339335877775,959.2830645161291,1.6495242859041335,37.32403225806452,9.82047271885194
1,12,28.728629032258063,2.031762555215619,958.0008064516129,1.681148270364594,34.81612903225806,9.337957917259857
1,13,29.054435483870968,2.097331367648549,956.9153225806451,1.7150242054201266,33.55887096774194,9.155283357115115
1,14,28.843145161290323,2.155740442819049,956.3338709677419,1.7489549537852167,33.45451612903226,9.273181048369286
1,15,28.04959677419355,2.189812851339572,956.2798387096774,1.7661671255114106,34.92790322580645,9.766147044158181
1,16,25.90225806451613,2.302966922973151,956.6314516129032,1.7809455301551478,46.73153225806452,11.71834216779629
1,17,22.414516129032258,2.2202619617062167,957.2620967741935,1.7810927833085453,58.446854838709676,12.008379957951412
1,18,21.231612903225805,2.142995922472698,958.1233870967742,1.7595319439970423,60.45556451612903,11.852766155306924
1,19,20.45217741935484,2.0648162029600337,958.8870967741935,1.7110814220355082,62.2325,11.698389968090845
1,20,19.753548387096775,1.9430029535012159,959.2814516129032,1.68809157341693,64.13266129032257,11.460357129814044
1,21,19.096290322580646,1.815351191243135,959.3112903225807,1.6774065191463403,66.30298387096774,11.377330403995881
1,22,18.440967741935484,1.7180526030708227,959.0266129032258,1.676771426892654,69.07870967741935,11.588326686571378
1,23,17.770887096774196,1.672335406169007,958.6443548387097,1.6682741395745442,72.67532258064516,12.18919856609587
2,0,20.04070796460177,1.8333993197717653,957.3522123893806,1.8947812418556327,54.993539823008845,17.323601567986557
2,1,19.35858407079646,1.8406403521099457,956.8451327433628,1.900798288616533,59.38407079646017,18.85050599155896
2,2,18.740707964601768,1.847850931687826,956.5646017699115,1.9079214734693788,63.6683185840708,20.25826100907686
2,3,18.175929203539823,1.814084596570552,956.6070796460177,1.8966001919863644,67.52734513274336,21.318996182885616
2,4,17.730530973451327,1.7946293094695294,957.0424778761062,1.8838033957611235,70.40044247787611,21.843449589774885
2,5,17.38849557522124,1.7967730107646855,957.8610619469027,1.8577748608559752,72.39699115044247,22.097659656501282
2,6,18.32769911504425,1.744818353649272,958.7911504424778,1.8419980185600604,69.77380530973451,21.38256922449519
2,7,21.562389380530973,1.5670435507305533,959.6451327433628,1.8366794159201307,56.801504424778756,18.81696025537101
2,8,25.720442477876105,1.998673841299228,960.2513274336283,1.8402307233182151,41.32132743362832,15.125585437573315
2,9,29.047610619469026,2.1345040718497974,960.3522123893806,1.83877372496748,31.398849557522126,12.416903207797336
2,10,31.05929203539823,2.121870265327836,959.6699115044247,1.8269747122610769,26.690973451327434,10.423341334699064
2,11,32.41548672566371,2.1407929902385145,958.4973451327434,1.8192158915799872,23.978584070796458,9.27326513109216
2,12,33.25026548672567,2.1599617474196333,957.1911504424779,1.8139123818284586,22.315309734513274,8.595295959210612
2,13,33.56079646017699,2.1709211102963275,956.0398230088496,1.8271533198144072,21.43902654867257,8.237250751117687
2,14,33.30424778761062,2.185254073700475,955.3265486725663,1.8239976552261803,21.313628318584072,8.215747516414838
2,15,32.51008849557522,2.17687829224361,955.20796460177,1.8249335405178828,21.927079646017702,8.472736811323541
2,16,30.852566371681416,2.2913415357606355,955.5380530973451,1.8377159049090162,25.72345132743363,10.807274234275816
2,17,26.782389380530972,2.3168945789323736,956.1787610619468,1.848911423331963,35.76088495575221,14.856239403357131
2,18,25.055486725663716,2.231571751971515,957.0300884955751,1.8541885477669569,38.345929203539825,14.838261572534135
2,19,24.117876106194693,2.221265104188313,957.8902654867258,1.85318088517371,40.09070796460177,14.777626532122225
2,20,23.253893805309733,2.175445945099665,958.370796460177,1.8598522126352919,42.04424778761062,14.648692153062532
2,21,22.438672566371682,2.0795816476709814,958.4442477876106,1.8791115897211732,44.28,14.606626431667431
2,22,21.66787610619469,1.9757717530695598,958.2168141592921,1.9026721179354789,46.983805309734514,14.902075138249797
2,23,20.9229203539823,1.914458465680088,957.8495575221239,1.9247506282728142,50.36274336283186,15.701532980651224
3,0,23.85258064516129,1.9926829040379475,955.25,2.1008902487750856,51.32677419354838,14.98168174416865
3,1,23.096693548387094,1.9863979418466662,954.7475806451613,2.11788603414021,55.77612903225806,16.064330213830505
3,2,22.45024193548387,1.993086613756268,954.4790322580644,2.132606870473696,59.83838709677419,17.23936110652401
3,3,21.931370967741934,1.983955699855135,954.5483870967741,2.1182706503477853,63.148548387096774,18.295220340476437
3,4,21.512500000000003,1.9634872846731588,955.0217741935484,2.0897177809171814,65.69733870967742,19.174102584817973
3,5,21.16516129032258,1.9463910668609339,955.7733870967742,2.1047800368232017,67.61653225806452,19.84038461977841
3,6,22.546693548387097,1.8280371639558002,956.6701612903227,2.1202461829260986,62.6383064516129,18.460288678246226
